Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-29 11:07:30.296][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14344) ps rtp packet 1404B, age=-68568513, vt=2/96, sts=13991/1741141980/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 11:23:40.013][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14504) ps rtp packet 1404B, age=901152005, vt=2/96, sts=5868/1773675180/0x2747e05, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 11:27:43.254][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=1144395538, vt=2/96, sts=46040/1850355180/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 11:48:58.595][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=-1875237332, vt=2/96, sts=16668/1965069166/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:19:10.448][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 1404B, age=-63375430, vt=2/96, sts=61989/2072781166/0x2747e05, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 12:37:02.464][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14268) ps rtp packet 1404B, age=1008640015, vt=2/96, sts=47663/2224024366/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:41:27.904][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=1274078760, vt=2/96, sts=55959/2247867166/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 12:52:38.872][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 1404B, age=1945045056, vt=2/96, sts=56352/2253515566/0x2747e05, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:02:30.953][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=-1757839342, vt=2/96, sts=28356/2361504766/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:15:50.692][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14504) ps rtp packet 1404B, age=-958109998, vt=2/96, sts=33871/2378821036/0x2747e05, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:24:11.987][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=-456810169, vt=2/96, sts=6635/2478659566/0x2747e07, muxer (nil) lost_rate:00% req_id:
