Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 04:18:45.272][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=666699194, vt=2/96, sts=56212/2598127920/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-28 04:40:40.897][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1982321419, vt=2/96, sts=19490/2716533090/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 04:55:50.155][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1403378886, vt=2/96, sts=29162/2798364060/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:07:58.334][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-675201066, vt=2/96, sts=35767/2863896570/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:11:22.945][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-470592199, vt=2/96, sts=44415/2882309850/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:18:59.569][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-13976230, vt=2/96, sts=17365/2923409070/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:21:19.576][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=126026233, vt=2/96, sts=3723/2936007540/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:22:05.584][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=172046899, vt=2/96, sts=20913/2940150690/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:22:28.712][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=195178759, vt=2/96, sts=29402/2942229420/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:25:29.595][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=376062301, vt=2/96, sts=30524/2958506280/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:34:26.817][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=913284306, vt=2/96, sts=32568/3006861210/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:35:13.954][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=960420770, vt=2/96, sts=50073/3011101560/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 05:40:20.424][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1266878460, vt=2/96, sts=32793/3038683590/0x27f8c04, muxer (nil) lost_rate:00% req_id:
